# generated grid graph
1,0
2,1
3,2
4,3
5,4
6,5
7,10
8,11
9,12
10,13
11,14
12,15
13,20
14,21
15,22
16,23
17,24
18,25
19,30
20,31
21,32
22,33
23,34
24,35
25,40
26,41
27,42
28,43
29,44
30,45
1,2,1
1,7,1
2,3,1
2,8,1
3,4,1
3,9,1
4,5,1
4,10,1
5,6,1
5,11,1
6,12,1
7,8,1
7,13,1
8,9,1
8,14,1
9,10,1
9,15,1
10,11,1
10,16,1
11,12,1
11,17,1
12,18,1
13,14,1
13,19,1
14,15,1
14,20,1
15,16,1
15,21,1
16,17,1
16,22,1
17,18,1
17,23,1
18,24,1
19,20,1
19,25,1
20,21,1
20,26,1
21,22,1
21,27,1
22,23,1
22,28,1
23,24,1
23,29,1
24,30,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
S,1
D,30
