# Vertices: id,cell_id
1,11
2,12
3,13
4,14
5,15
6,21
7,22
8,23
9,24
10,25
11,31
12,32
13,33
14,34
15,35
16,41
17,42
18,43
19,44
20,45
21,51
22,52
23,53
24,54
25,55
26,61
27,62
28,63
29,64
30,65

# Edges: u,v,w
1,2,1
2,3,2
3,4,1
4,5,2
1,6,2
2,7,2
3,8,2
4,9,1
5,10,2
6,7,1
7,8,2
8,9,1
9,10,2
6,11,2
7,12,2
8,13,2
9,14,2
10,15,1
11,12,1
12,13,2
13,14,1
14,15,2
11,16,2
12,17,2
13,18,2
14,19,1
15,20,2
16,17,1
17,18,2
18,19,1
19,20,2
16,21,2
17,22,2
18,23,2
19,24,1
20,25,2
21,22,1
22,23,2
23,24,1
24,25,2
21,26,2
22,27,2
23,28,2
24,29,1
25,30,2
26,27,1
27,28,2
28,29,1
29,30,2

# Source and Destination
S,1
D,30

